iter	Passed	Remaining
405	1578	2308
406	1582	2305
407	1585	2300
408	1589	2296
409	1593	2292
410	1596	2288
411	1601	2285
412	1605	2282
413	1609	2278
414	1614	2275
415	1618	2271
416	1621	2267
417	1626	2264
418	1630	2260
419	1634	2257
420	1638	2253
421	1643	2250
422	1647	2247
423	1651	2244
424	1656	2241
425	1661	2238
426	1664	2233
427	1668	2229
428	1671	2225
429	1675	2221
430	1679	2217
431	1682	2212
432	1686	2208
433	1690	2204
434	1694	2200
435	1697	2196
436	1701	2191
437	1704	2187
438	1708	2183
439	1712	2179
440	1715	2175
441	1719	2170
442	1723	2167
443	1727	2163
444	1731	2159
445	1735	2155
446	1738	2151
447	1742	2147
448	1746	2143
449	1750	2139
450	1753	2134
451	1757	2130
452	1761	2126
453	1764	2122
454	1768	2118
455	1771	2113
456	1775	2109
457	1779	2105
458	1783	2101
459	1786	2097
460	1791	2094
461	1794	2090
462	1798	2086
463	1802	2081
464	1805	2077
465	1809	2073
466	1812	2068
467	1816	2064
468	1820	2061
469	1823	2056
470	1827	2053
471	1831	2048
472	1835	2044
473	1839	2041
474	1843	2037
475	1847	2033
476	1850	2029
477	1854	2025
478	1858	2020
479	1861	2017
480	1865	2012
481	1869	2009
482	1873	2005
483	1877	2001
484	1881	1997
485	1884	1993
486	1888	1989
487	1892	1985
488	1896	1981
489	1899	1977
490	1903	1973
491	1907	1969
492	1911	1965
493	1914	1960
494	1918	1957
495	1922	1953
496	1926	1949
497	1929	1945
498	1933	1941
499	1937	1937
500	1941	1933
501	1944	1929
502	1948	1925
503	1952	1921
504	1955	1917
505	1959	1913
506	1963	1909
507	1967	1905
508	1971	1901
509	1975	1897
510	1978	1893
511	1982	1889
512	1985	1885
513	1989	1881
514	1992	1876
515	1996	1872
516	1999	1868
517	2003	1864
518	2007	1860
519	2011	1856
520	2014	1852
521	2018	1848
522	2023	1845
523	2027	1841
524	2031	1838
525	2035	1834
526	2039	1830
527	2043	1826
528	2046	1822
529	2050	1818
530	2054	1814
531	2058	1810
532	2062	1807
533	2066	1803
534	2069	1798
535	2073	1795
536	2077	1791
537	2081	1787
538	2085	1783
539	2088	1779
540	2092	1775
541	2095	1770
542	2099	1767
543	2103	1762
544	2106	1758
545	2110	1755
546	2114	1751
547	2118	1747
548	2122	1743
549	2126	1739
550	2130	1735
551	2133	1731
552	2137	1727
553	2140	1723
554	2144	1719
555	2148	1715
556	2152	1711
557	2155	1707
558	2159	1703
559	2163	1699
560	2166	1695
561	2170	1691
562	2174	1687
563	2177	1683
564	2181	1679
565	2185	1675
566	2189	1671
567	2192	1667
568	2196	1663
569	2200	1660
570	2204	1656
571	2208	1652
572	2212	1648
573	2215	1644
574	2220	1640
575	2223	1636
576	2227	1632
577	2230	1628
578	2234	1624
579	2238	1620
580	2243	1617
581	2246	1613
582	2250	1609
583	2254	1605
584	2258	1602
585	2261	1597
586	2266	1594
587	2269	1590
588	2274	1586
589	2277	1582
590	2281	1578
591	2285	1575
592	2289	1571
593	2293	1567
594	2297	1563
595	2301	1559
596	2304	1555
597	2308	1551
598	2312	1548
599	2316	1544
600	2320	1540
601	2323	1536
602	2327	1532
603	2331	1528
604	2335	1524
605	2338	1520
606	2342	1516
607	2346	1512
608	2350	1509
609	2354	1505
610	2358	1501
611	2361	1497
612	2365	1493
613	2369	1489
614	2373	1485
615	2376	1481
616	2380	1477
617	2383	1473
618	2387	1469
619	2391	1465
620	2395	1461
621	2399	1458
622	2403	1454
623	2406	1449
624	2409	1445
625	2413	1441
626	2416	1437
627	2420	1433
628	2424	1429
629	2427	1425
630	2431	1421
631	2435	1417
632	2439	1414
633	2442	1410
634	2446	1406
635	2450	1402
636	2454	1398
637	2457	1394
638	2461	1390
639	2465	1386
640	2468	1382
641	2472	1378
642	2476	1374
643	2479	1370
644	2483	1366
645	2486	1362
646	2490	1358
647	2493	1354
648	2497	1350
649	2501	1346
650	2504	1342
651	2508	1339
652	2512	1335
653	2516	1331
654	2519	1327
655	2523	1323
656	2527	1319
657	2531	1315
658	2534	1311
659	2538	1307
660	2542	1303
661	2545	1299
662	2549	1295
663	2553	1292
664	2556	1288
665	2560	1284
666	2564	1280
667	2568	1276
668	2572	1272
669	2576	1268
670	2579	1265
671	2584	1261
672	2588	1257
673	2592	1253
674	2596	1250
675	2599	1245
676	2603	1242
677	2607	1238
678	2611	1234
679	2614	1230
680	2618	1226
681	2622	1222
682	2626	1219
683	2630	1215
684	2634	1211
685	2637	1207
686	2641	1203
687	2645	1199
688	2648	1195
689	2652	1191
690	2656	1187
691	2660	1183
692	2663	1180
693	2667	1176
694	2671	1172
695	2675	1168
696	2679	1164
697	2683	1160
698	2687	1157
699	2690	1153
700	2694	1149
701	2698	1145
702	2702	1141
703	2705	1137
704	2709	1133
705	2713	1129
706	2717	1126
707	2720	1122
708	2724	1118
709	2728	1114
710	2732	1110
711	2736	1106
712	2739	1102
713	2743	1098
714	2747	1095
715	2752	1091
716	2755	1087
717	2759	1083
718	2762	1079
719	2766	1075
720	2770	1072
721	2773	1068
722	2777	1064
723	2781	1060
724	2785	1056
725	2788	1052
726	2792	1048
727	2796	1044
728	2800	1041
729	2803	1036
730	2807	1033
731	2811	1029
732	2815	1025
733	2818	1021
734	2822	1017
735	2826	1013
736	2830	1010
737	2833	1006
738	2837	1002
739	2841	998
740	2845	994
741	2848	990
742	2853	986
743	2856	982
744	2860	979
745	2864	975
746	2868	971
747	2871	967
748	2875	963
749	2879	959
750	2883	955
751	2886	951
752	2890	948
753	2893	944
754	2897	940
755	2901	936
756	2904	932
757	2908	928
758	2912	924
759	2915	920
760	2919	916
761	2923	912
762	2926	909
763	2930	905
764	2934	901
765	2937	897
766	2941	893
767	2944	889
768	2949	885
769	2952	881
770	2956	878
771	2960	874
772	2964	870
773	2967	866
774	2971	862
775	2974	858
776	2978	854
777	2981	850
778	2985	846
779	2988	842
780	2992	839
781	2995	835
782	2999	831
783	3003	827
784	3007	823
785	3011	819
786	3015	816
787	3018	812
788	3023	808
789	3026	804
790	3030	800
791	3033	796
792	3037	792
793	3041	789
794	3045	785
795	3049	781
796	3053	777
797	3056	773
798	3060	769
799	3064	766
800	3068	762
801	3072	758
802	3076	754
803	3079	750
804	3083	746
805	3087	743
806	3090	739
807	3094	735
808	3098	731
809	3101	727
810	3105	723
811	3109	719
812	3113	716
813	3117	712
814	3120	708
815	3125	704
816	3128	700
817	3132	696
818	3135	693
819	3139	689
820	3143	685
821	3146	681
822	3150	677
823	3154	673
824	3158	669
825	3161	666
826	3166	662
827	3170	658
828	3174	654
829	3177	650
830	3180	646
831	3184	643
832	3188	639
833	3191	635
834	3195	631
835	3199	627
836	3203	623
837	3207	619
838	3210	616
839	3214	612
840	3217	608
841	3221	604
842	3226	600
843	3229	596
844	3233	593
845	3236	589
846	3240	585
847	3244	581
848	3249	577
849	3252	574
850	3256	570
851	3260	566
852	3264	562
853	3268	558
854	3272	554
855	3275	551
856	3279	547
857	3283	543
858	3287	539
859	3292	535
860	3296	532
861	3299	528
862	3303	524
863	3307	520
864	3311	516
865	3314	512
866	3318	509
867	3322	505
868	3326	501
869	3329	497
870	3333	493
871	3337	489
872	3341	486
873	3345	482
874	3349	478
875	3353	474
876	3357	470
877	3360	466
878	3364	463
879	3368	459
880	3372	455
881	3375	451
882	3379	447
883	3382	443
884	3386	440
885	3390	436
886	3394	432
887	3398	428
888	3402	424
889	3406	421
890	3410	417
891	3414	413
892	3418	409
893	3421	405
894	3425	401
895	3431	398
896	3436	394
897	3442	391
898	3446	387
899	3450	383
900	3454	379
901	3457	375
902	3461	371
903	3465	368
904	3469	364
905	3473	360
906	3476	356
907	3480	352
908	3484	348
909	3488	345
910	3492	341
911	3496	337
912	3500	333
913	3504	329
914	3507	325
915	3511	322
916	3515	318
917	3519	314
918	3523	310
919	3526	306
920	3530	302
921	3533	298
922	3537	295
923	3540	291
924	3544	287
925	3548	283
926	3552	279
927	3556	275
928	3559	272
929	3563	268
930	3567	264
931	3571	260
932	3575	256
933	3579	252
934	3582	249
935	3585	245
936	3589	241
937	3593	237
938	3596	233
939	3600	229
940	3604	225
941	3607	222
942	3611	218
943	3615	214
944	3618	210
945	3622	206
946	3626	202
947	3630	199
948	3633	195
949	3637	191
950	3641	187
951	3644	183
952	3648	179
953	3652	176
954	3655	172
955	3660	168
956	3664	164
957	3668	160
958	3672	156
959	3676	153
960	3679	149
961	3683	145
962	3687	141
963	3691	137
964	3695	134
965	3698	130
966	3701	126
967	3705	122
968	3709	118
969	3713	114
970	3716	110
971	3720	107
972	3724	103
973	3728	99
974	3733	95
975	3737	91
976	3740	88
977	3744	84
978	3747	80
979	3751	76
980	3754	72
981	3758	68
982	3762	65
983	3765	61
984	3769	57
985	3773	53
986	3777	49
987	3781	45
988	3785	42
989	3789	38
990	3792	34
991	3796	30
992	3800	26
993	3803	22
994	3807	19
995	3811	15
996	3814	11
997	3818	7
998	3821	3
999	3825	0
