iter	Logloss
0	0.6847116694
1	0.6762196329
2	0.667471241
3	0.6605471189
4	0.6525350029
5	0.6449307617
6	0.6377405606
7	0.6315210646
8	0.6254918617
9	0.6199283311
10	0.6144314225
11	0.6088964579
12	0.603522917
13	0.5979459753
14	0.594092554
15	0.5894024891
16	0.585007807
17	0.5802719388
18	0.5761544333
19	0.5718780114
20	0.5678013426
21	0.5643258332
22	0.5609581048
23	0.5575440107
24	0.5545090936
25	0.5514197103
26	0.5485644125
27	0.5456784223
28	0.5436968265
29	0.5410642478
30	0.5389200791
31	0.5369610308
32	0.5346852323
33	0.5323578513
34	0.5302173621
35	0.5282747133
36	0.5264265187
37	0.5242194914
38	0.5225155089
39	0.5203716656
40	0.5185055214
41	0.5169624362
42	0.5155522876
43	0.5140080842
44	0.5124977504
45	0.5109586118
46	0.5092745938
47	0.5078207234
48	0.5064187846
49	0.5053767573
50	0.5043896461
51	0.5031703629
52	0.5022387156
53	0.5010369284
54	0.5001200534
55	0.4990693253
56	0.4981111224
57	0.4971242393
58	0.4958496117
59	0.4948875673
60	0.4941372261
61	0.4932970623
62	0.4923942478
63	0.4914255828
64	0.4907729476
65	0.4899246581
66	0.4890412802
67	0.4881115775
68	0.4872439958
69	0.4865242852
70	0.4859622682
71	0.4851005034
72	0.4844648715
73	0.4839329721
74	0.483216387
75	0.4825659871
76	0.4819311629
77	0.4812590203
78	0.4805989861
79	0.4800882793
80	0.4795810385
81	0.4789136611
82	0.4784900114
83	0.4779599053
84	0.4772913039
85	0.4765816659
86	0.4760641089
87	0.4754620215
88	0.4753498613
89	0.4749394037
90	0.4744621738
91	0.4739966143
92	0.473534357
93	0.4731185797
94	0.4725971481
95	0.472178516
96	0.4717407455
97	0.4712452922
98	0.4708301562
99	0.4704848895
100	0.4699010935
101	0.4694390991
102	0.4690539081
103	0.4686899591
104	0.4683073136
105	0.4679632671
106	0.467588584
107	0.4672837927
108	0.4669601859
109	0.466374915
110	0.4659574284
111	0.465590327
112	0.4653432322
113	0.4650365955
114	0.4646641463
115	0.4642623187
116	0.4638978139
117	0.4634009649
118	0.4631853746
119	0.4629687771
120	0.4627412419
121	0.4623596348
122	0.4619643708
123	0.4617494627
124	0.4614183717
125	0.4611358229
126	0.460735652
127	0.4604137107
128	0.4601448238
129	0.4598739384
130	0.4595140955
131	0.4592884694
132	0.4588487197
133	0.4586273705
134	0.4582167957
135	0.4578032748
136	0.4574767886
137	0.4571983481
138	0.4569467824
139	0.4567247382
140	0.4564081969
141	0.4560215206
142	0.4557593313
143	0.455425968
144	0.4551922653
145	0.4548982972
146	0.4546215095
147	0.4543667754
148	0.4541871726
149	0.4538971541
150	0.4536569311
151	0.4534161388
152	0.4533541037
153	0.4530975039
154	0.4528485155
155	0.4526361538
156	0.4524258862
157	0.4522690619
158	0.4520427462
159	0.4517504625
160	0.4515879771
161	0.45135828
162	0.4512305256
163	0.4511106218
164	0.4508956339
165	0.4505964708
166	0.450390875
167	0.4502051995
168	0.4499514354
169	0.4498314379
170	0.4496922085
171	0.4495574552
